date,risk_score,confidence_score,financial_health_score,management_risk_score,industry_risk_score,external_context_score
2023-01-01,0.23102803509508235,0.7491329410327087,0.7787342608655271,0.24513313143495483,0.26961485680336494,0.23016221879385962
2023-01-31,0.1998709833582092,0.7204074956286848,0.8845406969598753,0.14654880138638607,0.2162762758583365,0.19293328594579656
2023-03-02,0.1882386853159615,0.7889626690914866,0.8780236215892825,0.20266850999304026,0.1653155001190777,0.19226404707012296
2023-04-01,0.19609779377528214,0.811968415793731,0.8651549862020432,0.21693542565210677,0.21545230813439464,0.2068699807611072
2023-05-01,0.18630039110622562,0.8558026768422116,0.8554002267920993,0.17482968867549376,0.1657353395737356,0.15819873675592142
2023-05-31,0.2321328876127337,0.8199304733728491,0.8223906333132114,0.21379954461991138,0.26958237916358885,0.20675916285093293
2023-06-30,0.1886733827745174,0.8871494905915894,0.8434258628206772,0.19653572081559967,0.20090507897577708,0.18783970246189285
2023-07-30,0.1315213666289341,0.8528932187185965,0.9262309381147664,0.09602451211185725,0.14025052031902432,0.16355683741922847
2023-08-29,0.19723500559671303,0.9078842563949323,0.8509503771024365,0.1955650939081836,0.2603600958360416,0.20341058253845323
2023-09-28,0.14878844126959911,0.9080520212993184,0.8596983667268983,0.18184799898362825,0.16845651533438133,0.14992954674068648
2023-10-28,0.17742351994913455,0.95,0.8770341511237899,0.19953490147400305,0.1806896716535788,0.1944573885619973
2023-11-27,0.16675033105985648,0.929723090654103,0.9147154819523499,0.1684117439143668,0.19316666458378745,0.14355360758366478
