date,revenue,profit_margin,cash_balance,debt_ratio,accounts_receivable,inventory,raw_material_costs,capacity_utilization,order_backlog
2023-01-01,387589.5761689525,0.11428288782324321,195950.85257465226,0.3796794986944844,117997.3099790674,108544.80672205315,180263.0940083812,0.6899845970744437,497709.5335443817
2023-01-31,418543.01552046934,0.11086376317201327,226103.41999034068,0.3674366242932929,122329.67310921797,108870.02996397752,166873.80698656314,0.6717364866307622,478453.0422047076
2023-03-02,409559.8153343268,0.1192648635523764,195833.26137669862,0.3831577242025532,133755.89362652993,103395.81467407684,172391.22453226193,0.7288051285153511,495438.951105135
2023-04-01,420437.21502680925,0.10968822896909936,215378.06640160573,0.3870076560197696,128934.43845066454,98152.68103401107,164538.42915713022,0.7452084818477243,468685.24644392944
2023-05-01,452946.4891912207,0.11538667732109865,200224.40420497136,0.36873961391351817,127751.65115965866,112487.22732885224,180549.90352576366,0.6918503447913532,503576.3770450746
2023-05-31,439004.2734230679,0.11758658555790288,223551.75663016087,0.39609417996324797,121483.40167563695,97120.68710260063,183555.53898383438,0.7146826789649482,487519.8699275612
2023-06-30,441457.78781855816,0.11284864677248568,209846.94226431724,0.3962401116425948,135672.75034781557,103510.07911902573,181735.0155916408,0.6588370478452464,466126.9954990774
2023-07-30,416773.99168839527,0.12689152001184908,208544.7179119478,0.39051087804756446,116901.26276559054,108402.7548367122,180837.71718389227,0.6826684458358268,469623.8947113847
2023-08-29,449655.8754468456,0.12177335458767258,221461.0026797856,0.39529181718328277,130379.53677108795,111707.59849926176,176014.0143186087,0.7252573800359131,503717.9571114522
2023-09-28,433049.73692096805,0.1155629336628342,227624.46468907283,0.3887226432634566,135472.91061425806,113296.22845897838,202145.39086683787,0.6375131448229945,479908.8749505577
2023-10-28,435314.05132293125,0.12233240737774184,226278.1003363522,0.3870850126190126,133329.71544611416,111911.46113095769,206291.04010090948,0.7155942840853937,475016.00411287235
2023-11-27,456118.24630619603,0.1128229781661394,229696.57015271642,0.38325478799065615,128169.6659428495,101957.4209136217,196748.06914676615,0.6649026249015475,435631.10064993054
